,Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6,63edfb1a63f8a38c3c26a63a,63d7c49b6034452ab6c2a7e8,APPROVED,2023-02-16T09:45:01.991000Z,2023-02-16T10:47:37.639000Z,2023-02-16T13:41:09.797000,2023-02-16T10:47:38.059351Z,3756,63edfb1a63f8a38c3c26a63a,48,"English, Italian",Yes,32,Male,White,Italy,United Kingdom,Italy,English,No,Full-Time
7,63ee087c8c189eb53ccb0f07,604b169fe4b7991ec08da3a6,APPROVED,2023-02-16T10:42:04.883000Z,2023-02-16T12:55:00.277000Z,2023-02-16T13:50:04.360000,2023-02-16T12:55:00.823867Z,7976,NOCODE,1496,"English, German",Yes,31,Male,White,Russian Federation,Germany,Germany,German,No,Full-Time
8,63ee087e22ffe92e035731bc,63d7cd776c3b50b48eabd288,APPROVED,2023-02-16T10:49:12.694000Z,2023-02-16T11:42:40.119000Z,2023-02-16T13:55:42.538000,2023-02-16T11:42:40.480501Z,3208,CJ8EQCN9,26,English,Yes,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
0,63ef371745910a924ffbbd41,5f2c5f0fafada410f1c45107,APPROVED,2023-02-17T08:13:11.934000Z,2023-02-17T09:17:39.630000Z,2023-02-17T13:43:02.593000,2023-02-17T09:17:39.963069Z,3868,CJ8EQCN9,364,"English, Spanish",Yes,34,Female,Other,"Venezuela, Bolivarian Republic of",Sweden,"Venezuela, Bolivarian Republic of",Spanish,Yes,Full-Time
1,63ef3737b7b1e5ab9a2452b6,5ef0a462ebe9a7092d6bb28d,APPROVED,2023-02-17T08:13:43.719000Z,2023-02-17T10:13:58.641000Z,2023-02-17T13:51:27.418000,2023-02-17T10:13:59.000787Z,7215,CJ8EQCN9,223,"English, Italian",Yes,39,Female,White,Italy,Italy,Italy,Italian,No,Full-Time
2,63ef44f02e0aed4b426d8b92,58945874b5496d00018cfe1c,APPROVED,2023-02-17T09:12:57.307000Z,2023-02-17T10:16:18.567000Z,2023-02-17T14:34:05.106000,2023-02-17T10:16:18.953450Z,3802,CJ8EQCN9,1626,English,Yes,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
3,63ef44f0f9af44d4018a065c,6135310c4bf7b53d091feb53,APPROVED,2023-02-17T09:12:49.768000Z,2023-02-17T10:10:22.645000Z,2023-02-17T13:55:33.348000,2023-02-17T10:10:23.047127Z,3453,CJ8EQCN9,823,English,Yes,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
4,63ef52fd349b794670dedf0c,632073c299a043bc2071e4f7,APPROVED,2023-02-17T10:12:27.494000Z,2023-02-17T11:10:32.541000Z,2023-02-17T14:38:40.212000,2023-02-17T11:10:33.183253Z,3486,CJ8EQCN9,159,English,Yes,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
5,63ef52ff95f7e3841e25ffd5,628deac8711dee5dbda650ae,APPROVED,2023-02-17T10:18:40.998000Z,2023-02-17T11:27:38.044000Z,2023-02-17T14:43:11.074000,2023-02-17T11:27:38.526741Z,4138,CJ8EQCN9,1143,English,Yes,30,Male,White,United States,United States,United States,English,No,Full-Time
0,63ef3ed3ce359e20c3a2a14b,5adf6992dee8590001b060a8,APPROVED,2023-02-17T08:46:11.366000Z,2023-02-17T09:35:19.969000Z,2023-02-17T14:47:53.752000,2023-02-17T09:35:20.363014Z,2949,CJ8EQCN9,372,"Italian, English",Yes,30,Male,White,Italy,Italy,Italy,Italian,No,Unemployed (and job seeking)
1,63ef40678adc9a1241fbbd70,603259f5a5c8a321c9f3baab,APPROVED,2023-02-17T08:52:58.902000Z,2023-02-17T09:49:11.253000Z,2023-02-17T14:50:52.822000,2023-02-17T09:49:11.577369Z,3373,CJ8EQCN9,138,"English, Portuguese",Yes,35,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
2,63ef4bf320fd4176d401eda6,62da689228c4a8004c8d789d,APPROVED,2023-02-17T09:42:20.396000Z,2023-02-17T10:34:46.969000Z,2023-02-17T14:53:41.878000,2023-02-17T10:34:47.448725Z,3147,CJ8EQCN9,191,"Chinese, English, Malay",Yes,26,Female,Asian,Malaysia,United Kingdom,Malaysia,English,No,Full-Time
3,63ef4bf37aecd89b52871f5e,63c5335da2b625ab1ade7e7c,APPROVED,2023-02-17T09:44:00.373000Z,2023-02-17T11:36:06.384000Z,2023-02-17T14:56:34.731000,2023-02-17T11:36:07.169170Z,6727,CJ8EQCN9,50,"English, Italian",Yes,23,Female,White,Italy,Germany,Italy,Italian,No,Full-Time
4,63ef5a0b32b4f0a7a5f7f70c,5e440e4f19962228cf949247,APPROVED,2023-02-17T10:42:19.876000Z,2023-02-17T11:40:47.888000Z,2023-02-17T15:02:39.496000,2023-02-17T11:40:48.420047Z,3509,CJ8EQCN9,582,"French, English",Yes,35,Male,White,France,France,France,French,No,Full-Time
5,63ef5a0ce53b4c1976e356a7,5fbbf3f438be4c025df6cdd4,APPROVED,2023-02-17T10:42:25.197000Z,2023-02-17T11:42:07.199000Z,2023-02-17T15:07:00.042000,2023-02-17T11:42:07.682043Z,3583,CJ8EQCN9,357,"Italian, English",Yes,30,Male,White,Italy,Italy,Italy,Italian,Yes,Part-Time
